Date, Time, Job_ID, Status
2020-01-27, 09:36:07,669, job_1580117353349_0001, SUCCEEDED
Date, Time, Job_ID, Status
2020-01-27, 09:36:07:669, job_1580117353349_0001, SUCCEEDED
